word_id,root_id,link_index,target_identifier,target_type,target_id
dd7df190-f0c2-459e-b58e-5741db00cd88,0815771c-a879-4c7e-b9b2-425daadb9957,2,op-,prefix,07e6b6fd-3e6e-42be-9cfe-11dcadb01cd9
dd7df190-f0c2-459e-b58e-5741db00cd88,0815771c-a879-4c7e-b9b2-425daadb9957,3,of-,prefix,366a998f-d20b-48c1-97c8-cf723bf4766e
dd7df190-f0c2-459e-b58e-5741db00cd88,0815771c-a879-4c7e-b9b2-425daadb9957,4,oc-,prefix,0815771c-a879-4c7e-b9b2-425daadb9957
dd7df190-f0c2-459e-b58e-5741db00cd88,e2886367-ddff-431b-895d-7f71b5981411,1,care,word,69493fae-4e11-41e4-a525-c15f83022370
00a62e6f-48f3-4ac1-80c9-ec016c8047bd,e2886367-ddff-431b-895d-7f71b5981411,1,care,word,69493fae-4e11-41e4-a525-c15f83022370
594e513c-9ada-4313-9b93-a5a30881358e,3015fc76-f4ec-4a6a-bc69-218e873a44f1,1,at,word,9c2f1b32-39ad-4c43-8c8d-ae84d4272e3b
7590780b-589b-4d38-ae33-6a865d323a88,eb2dab21-d31e-4dbd-bb90-255c046203a6,1,on,word,3090e71f-ead1-49e6-8ef2-520fb888aaf2
484b6394-33fc-436b-a02c-cbae0f1d07f9,eb2dab21-d31e-4dbd-bb90-255c046203a6,1,on,word,3090e71f-ead1-49e6-8ef2-520fb888aaf2
261ea176-4c72-4810-90cf-01d5d1b2b489,56cb30c8-f901-46e0-8f12-1a953cca2c90,1,long,word,46dfd8f8-98ef-42a8-95e9-5793efa28d03
f1a61c01-3c8f-4824-808f-676d248667df,56cb30c8-f901-46e0-8f12-1a953cca2c90,1,long,word,46dfd8f8-98ef-42a8-95e9-5793efa28d03
e264128c-5fa4-4a89-9331-f31b922ab80a,56cb30c8-f901-46e0-8f12-1a953cca2c90,1,long,word,46dfd8f8-98ef-42a8-95e9-5793efa28d03
d3b66353-15ea-42f8-8d2f-eb50c77ac846,56cb30c8-f901-46e0-8f12-1a953cca2c90,1,long,word,46dfd8f8-98ef-42a8-95e9-5793efa28d03
bee11f4c-f1fb-4fcc-b02d-45f1054e161d,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
a807c19e-43fd-4676-ad8b-83e2478e8c0c,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
04e1b368-45bf-4a9f-9b53-383cf384a1bc,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
c75130a0-be0c-4de2-914e-578688acac54,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
7877c61c-ab13-487b-951b-c180dbe28f33,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
537de570-c015-4531-b3b7-64735689ba48,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
9308f18c-4dd9-48c4-8e43-c42da1eae96b,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
8077083d-ceb6-40d1-802d-0682b2cf436d,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
a25e6655-4c35-4e5b-8e58-1baadef2ff7c,ae5522fc-65cf-47b7-9577-4e782649516d,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
4ee1cc0b-ee4a-4f1d-9ba0-89c8d784cc42,479f9519-481b-4bbb-900d-ea71fa29eba6,1,ex-,prefix,0e1e4834-1d6f-4546-8d73-edafa036bb02
71eff7d9-cf4d-4e8f-9c00-c2fb9c388ddc,479f9519-481b-4bbb-900d-ea71fa29eba6,1,ex-,prefix,0e1e4834-1d6f-4546-8d73-edafa036bb02
7a014ba6-d468-4a1e-8e73-f45d493c0c24,01f49513-202d-4971-8288-69133087830a,1,let,word,524f3f07-5c8a-4cdf-ac82-2ea1d7e78a01
