word_id,word_order,canonical_spelling,variants_json,entry_kind,source_roles,source_count,first_source_entry_id,homograph_sources
cet4-w-616217d737552f428ae0,203,also,[],word,headword,1,cet2016-p024-r36-c1,0
cet4-w-694001720536556bbe57,204,alter,[],word,headword,1,cet2016-p024-r37-c1,0
cet4-w-0c0043d3ff5bfcdfecb7,205,alteration,[],word,listed_related,1,cet2016-p024-r37-c2,0
cet4-w-83a6505d7459c8b13290,206,alternative,[],word,headword,1,cet2016-p024-r39-c1,0
cet4-w-a940391ad98858bac4fa,207,although,[],word,headword,1,cet2016-p024-r40-c1,0
cet4-w-935e4a4f2f3a467fc95c,208,altitude,[],word,headword,1,cet2016-p024-r41-c1,0
cet4-w-35bb080edbee5d1f0811,209,altogether,[],word,headword,1,cet2016-p024-r42-c1,0
cet4-w-ee23a76d3ebef6ab2996,210,aluminum,"[""aluminium""]",word,headword,1,cet2016-p025-r01-c1,0
cet4-w-844574a162b66a44530a,211,always,[],word,headword,1,cet2016-p025-r02-c1,0
cet4-w-9abaabc5da76a61b7552,212,am,[],word,headword,1,cet2016-p025-r03-c1,0
cet4-w-b966f0ae1c7c963a1cdd,213,amateur,[],word,headword,1,cet2016-p025-r05-c1,0
cet4-w-c9392ff234740072f584,214,amaze,[],word,headword,1,cet2016-p025-r06-c1,0
cet4-w-a84f40110841666e28ee,215,amazement,[],word,listed_related,1,cet2016-p025-r06-c3,0
cet4-w-f5bac0fa1f386f0c80c5,216,amazing,[],word,listed_related,1,cet2016-p025-r06-c2,0
cet4-w-14d09063097084c59b4f,217,ambassador,[],word,headword,1,cet2016-p025-r07-c1,0
cet4-w-a46d21aa45222636575d,218,ambition,[],word,headword,1,cet2016-p025-r09-c1,0
cet4-w-533e66b7f7b0ce9a0fb7,219,ambitious,[],word,listed_related,1,cet2016-p025-r09-c2,0
cet4-w-bbe1eb3b830d2c906bac,220,ambulance,[],word,headword,1,cet2016-p025-r10-c1,0
cet4-w-3a5fdb686a55ff051478,221,amid,[],word,headword,1,cet2016-p025-r13-c1,0
cet4-w-6a4fca45569f0be5a649,222,amidst,[],word,headword,1,cet2016-p025-r13-c1,0
cet4-w-3e2f49591a323f85109a,223,among,[],word,headword,1,cet2016-p025-r15-c1,0
cet4-w-6ae6c59d7e99c29634c4,224,amongst,[],word,headword,1,cet2016-p025-r15-c1,0
cet4-w-f8949da5acaeb5b586ed,225,amount,[],word,headword,1,cet2016-p025-r16-c1,0
cet4-w-c1f5b37ad27abe8e10e1,226,ample,[],word,headword,1,cet2016-p025-r17-c1,0
cet4-w-d36366b630c6ae234f4a,227,amuse,[],word,headword,1,cet2016-p025-r19-c1,0
cet4-w-2eef0e8448e32dca9c15,228,amusement,[],word,listed_related,1,cet2016-p025-r19-c3,0
cet4-w-946ef6c0a5e9e67b210f,229,amusing,[],word,listed_related,1,cet2016-p025-r19-c2,0
cet4-w-9287ba6d9732d3125de7,230,an,[],word,headword,1,cet2016-p021-r01-c1,0
cet4-w-22634c370b80850c5995,231,analysis,[],word,listed_related,1,cet2016-p025-r22-c2,0
cet4-w-1fb18acce56d40da1cdf,232,analyst,[],word,listed_related,1,cet2016-p025-r22-c4,0
cet4-w-04e137a56a2d32f678c6,233,analytic,[],word,listed_related,1,cet2016-p025-r22-c3,0
cet4-w-037fe5ee5cd36a0eb53d,234,analytical,[],word,listed_related,1,cet2016-p025-r22-c3,0
cet4-w-72121a255b55512b0829,235,analyze,"[""analyse""]",word,headword,1,cet2016-p025-r22-c1,0
cet4-w-9a5a729da4af60d63315,236,ancestor,[],word,headword,1,cet2016-p025-r23-c1,0
cet4-w-96505aaf3b2bba8e10b6,237,ancestry,[],word,listed_related,1,cet2016-p025-r23-c2,0
cet4-w-6bf8b2748a6f1aca62c4,238,anchor,[],word,headword,1,cet2016-p025-r24-c1,0
cet4-w-ff2284821991e91b0453,239,anchorage,[],word,listed_related,1,cet2016-p025-r24-c2,0
cet4-w-837c23faa4406003a563,240,ancient,[],word,headword,1,cet2016-p025-r25-c1,0
cet4-w-07aa968e2f009036bddb,241,and,[],word,headword,1,cet2016-p025-r26-c1,0
cet4-w-9e3b48342b97b434a5da,242,anew,[],word,headword,1,cet2016-p025-r28-c1,0
cet4-w-ee55f3b8d37e28c8d97b,243,angel,[],word,headword,1,cet2016-p025-r29-c1,0
cet4-w-8428fb5d16ae88f4d10c,244,anger,[],word,listed_related,1,cet2016-p025-r31-c2,0
cet4-w-49117f7c63f3d4a37396,245,angle,[],word,headword,1,cet2016-p025-r30-c1,0
cet4-w-0146ac7e5ee863bf63dc,246,angry,[],word,headword,1,cet2016-p025-r31-c1,0
cet4-w-53ffb765fb21bf9bea7c,247,animal,[],word,headword,1,cet2016-p025-r33-c1,0
cet4-w-50a4233a71e998c53963,248,ankle,[],word,headword,1,cet2016-p025-r35-c1,0
cet4-w-d43ff44e9fc4df536ed7,249,anniversary,[],word,headword,1,cet2016-p025-r37-c1,0
cet4-w-4d9986dc667a2f581b53,250,announce,[],word,headword,1,cet2016-p025-r38-c1,0
cet4-w-a876a0b1bc4df6651be0,251,announcement,[],word,listed_related,1,cet2016-p025-r38-c2,0
cet4-w-36b2982adfd418aa4a62,252,annoy,[],word,headword,1,cet2016-p025-r39-c1,0
cet4-w-c4488a82187c3cb7d85e,253,annoyance,[],word,listed_related,1,cet2016-p025-r39-c2,0
cet4-w-50b92d83ee9e11e9431d,254,annual,[],word,headword,1,cet2016-p025-r40-c1,0
cet4-w-ce6923dac3707851adbd,255,another,[],word,headword,1,cet2016-p025-r42-c1,0
cet4-w-9d3f710e8fcbb3733ebe,256,answer,[],word,headword,1,cet2016-p026-r01-c1,0
cet4-w-5e12aa41f2153d9ac4a0,257,ant,[],word,headword,1,cet2016-p026-r02-c1,0
cet4-w-b4584c44c522fde52fdb,258,anticipate,[],word,headword,1,cet2016-p026-r06-c1,0
cet4-w-22e13ffdef3c8e52c7fa,259,anticipation,[],word,listed_related,1,cet2016-p026-r06-c2,0
cet4-w-2a4c3d98bcbd0448e362,260,antique,[],word,headword,1,cet2016-p026-r07-c1,0
cet4-w-f093cde3b0f743f1ce19,261,anxiety,[],word,listed_related,1,cet2016-p026-r09-c2,0
cet4-w-b677938ef5a39fd1dad1,262,anxious,[],word,headword,1,cet2016-p026-r09-c1,0
cet4-w-7adfab203e9832b97dc6,263,any,[],word,headword,1,cet2016-p026-r10-c1,0
