word_id,canonical_spelling,source_entry_id,entry_role,source_homograph_number,normalization_kind
cet4-w-5caf0a3aa0c59b821237,accessible,cet2016-p021-r26-c2,listed_related,,literal
cet4-w-0f4159cadc2af6a38502,accident,cet2016-p021-r28-c1,headword,,literal
cet4-w-df7ac4809139e92350df,accidental,cet2016-p021-r28-c2,listed_related,,literal
cet4-w-1f2a401710d0596de35f,accommodate,cet2016-p021-r30-c1,headword,,literal
cet4-w-1edda9ffe6c8d05f5ef0,accommodation,cet2016-p021-r30-c2,listed_related,,literal
cet4-w-7580e0daca7bf28654b8,accompany,cet2016-p021-r31-c1,headword,,literal
cet4-w-d740153e791bc21b4bd6,accomplish,cet2016-p021-r32-c1,headword,,literal
cet4-w-e8eb86c966ce85884d0d,accomplishment,cet2016-p021-r32-c2,listed_related,,literal
cet4-w-d74307e606e88ed5867e,accord,cet2016-p021-r33-c1,headword,,literal
cet4-w-26b19ca0db642361e9b8,accordance,cet2016-p021-r34-c1,headword,,literal
cet4-w-593fc9aa437f4a7f8a46,according to,cet2016-p021-r35-c1,headword,,literal
cet4-w-4c4dbcf45110b86d739b,accordingly,cet2016-p021-r36-c1,headword,,literal
cet4-w-502dc8470d46995e3b29,account,cet2016-p021-r37-c1,headword,,literal
cet4-w-2a5ce4035df85fb684d5,accounting,cet2016-p021-r37-c2,listed_related,,literal
cet4-w-b70f4d52f626613ef678,accountant,cet2016-p021-r37-c3,listed_related,,literal
cet4-w-fe4295e59378fe30b6a6,accountancy,cet2016-p021-r37-c4,listed_related,,literal
cet4-w-9f4e5df3b88f94a08810,accountable,cet2016-p021-r38-c1,headword,,literal
cet4-w-d3767c473ce4cee7c457,accountability,cet2016-p021-r38-c2,listed_related,,literal
cet4-w-b5bb411c0158c87ffbb7,accumulate,cet2016-p021-r39-c1,headword,,literal
cet4-w-de298b2a0b4e2bf1363b,accumulation,cet2016-p021-r39-c2,listed_related,,literal
cet4-w-df9f11ffa31110b2f2c1,accumulative,cet2016-p021-r39-c3,listed_related,,literal
cet4-w-7a7aa95ab6907ff16ef0,accurate,cet2016-p021-r40-c1,headword,,literal
cet4-w-01f16ae66e034320cb43,accuracy,cet2016-p021-r40-c2,listed_related,,literal
cet4-w-f5ff766854c64e6a7f21,accuse,cet2016-p021-r41-c1,headword,,literal
cet4-w-0272a83810fd03a3dbf0,accusation,cet2016-p021-r41-c2,listed_related,,literal
cet4-w-44f596d480d72894a730,accustom,cet2016-p021-r42-c1,headword,,literal
cet4-w-5100359a7add5be3f74e,accustomed,cet2016-p021-r42-c2,listed_related,,literal
cet4-w-5e1e85c25cb975a5f639,ace,cet2016-p022-r01-c1,headword,,literal
cet4-w-c423ac00896004d5e86c,ache,cet2016-p022-r02-c1,headword,,literal
cet4-w-3fdc7170836acb699c27,achieve,cet2016-p022-r03-c1,headword,,literal
cet4-w-c0fd2ee8dcbbb3b36504,achievement,cet2016-p022-r03-c2,listed_related,,literal
cet4-w-6db3ca8c9f5f7f74501f,acid,cet2016-p022-r04-c1,headword,,literal
cet4-w-bfffcba4cb08b4f5422e,acidity,cet2016-p022-r04-c2,listed_related,,literal
cet4-w-5e9f2bb803ec3bbd7f59,acknowledge,cet2016-p022-r05-c1,headword,,literal
cet4-w-c2c4b9de3e51ca864c7d,acknowledgement,cet2016-p022-r05-c2,listed_related,,literal
cet4-w-029cb66143b2c6377b03,acquaint,cet2016-p022-r06-c1,headword,,literal
cet4-w-ca462313c254fd6ecb87,acquaintance,cet2016-p022-r06-c2,listed_related,,literal
cet4-w-81853f95f10e012cafad,acquire,cet2016-p022-r07-c1,headword,,literal
cet4-w-bdb4812be6fe730050b8,acquisition,cet2016-p022-r07-c2,listed_related,,literal
cet4-w-71a91c5bc1d36cf51b9e,acre,cet2016-p022-r08-c1,headword,,literal
cet4-w-479267915f30dce80612,across,cet2016-p022-r09-c1,headword,,literal
cet4-w-dcc6b6de5d3f3f80ff02,act,cet2016-p022-r10-c1,headword,,literal
cet4-w-b4e76965b5a7943279ac,action,cet2016-p022-r10-c2,listed_related,,literal
cet4-w-12952370deeb322c92b6,acting,cet2016-p022-r10-c3,listed_related,,literal
cet4-w-560e8b954a1a6e8c9768,active,cet2016-p022-r12-c1,headword,,literal
cet4-w-4ced4a567905ee623d9d,activity,cet2016-p022-r12-c2,listed_related,,literal
cet4-w-fe4ad424f609f1c6e502,activist,cet2016-p022-r12-c3,listed_related,,literal
cet4-w-45384c5a5727e65aeb71,actor,cet2016-p022-r13-c1,headword,,literal
cet4-w-996e8063308235c5ef59,actress,cet2016-p022-r13-c2,listed_related,,literal
cet4-w-1585d72748c764fdc715,actual,cet2016-p022-r14-c1,headword,,literal
cet4-w-35933c866d479febfd5d,actually,cet2016-p022-r14-c2,listed_related,,literal
cet4-w-3d98e5db5ab2fed7b3a1,acute,cet2016-p022-r16-c1,headword,,literal
cet4-w-ce5ce25d8f0e7194cc10,adapt,cet2016-p022-r17-c1,headword,,literal
cet4-w-9ee5467ce2af9057e724,adaptation,cet2016-p022-r17-c2,listed_related,,literal
cet4-w-39fd41b2a3a0a3778170,adaptive,cet2016-p022-r17-c3,listed_related,,literal
cet4-w-9103ec43533f3656675e,add,cet2016-p022-r18-c1,headword,,literal
cet4-w-1f43ac46516340a2c567,addition,cet2016-p022-r18-c2,listed_related,,literal
cet4-w-402de9743b898c93a5a7,additional,cet2016-p022-r18-c3,listed_related,,literal
cet4-w-827192b236adae6222d6,addict,cet2016-p022-r19-c1,headword,,literal
cet4-w-375e71f085b055138a30,addiction,cet2016-p022-r19-c2,listed_related,,literal
cet4-w-445db3c0e8ea30789839,addictive,cet2016-p022-r19-c3,listed_related,,literal
